id,Idol1,Idol2,Idol3,Idol4,Idol5,TweetId
71,一ノ瀬志希,早坂美玲,衛藤美紗希,城ヶ崎美嘉,桐生つかさ,901234809468362752
72,森久保乃々,佐々木千枝,龍崎薫,市原仁奈,櫻井桃華,901234809371901953
73,荒木比奈,依田芳乃,乙倉悠貴,神谷奈緒,高森藍子,901234746633494528
74,アナスタシア,小早川紗枝,北条加蓮,藤原肇,塩見周子,901234740501422081
75,橘ありす,櫻井桃華,白坂小梅,星輝子,北条加蓮,901234740237172736
76,大石泉,クラリス,衛藤美紗希,桐生つかさ,岡崎泰葉,901234740212023297
77,高垣楓,川島瑞樹,速水奏,三船美優,神崎蘭子,901234735426306048
78,多田李衣菜,城ヶ崎莉嘉,的場梨沙,神崎蘭子,中野有香,901234713313984512
79,橘ありす,佐城雪美,緒方智絵里,鷹富士茄子,結城晴,901234682393538561
80,速水奏,北条加蓮,渋谷凛,鷹富士茄子,橘ありす,901234674336280576
81,市原仁奈,島村卯月,高垣楓,安部菜々,森久保乃々,901234649694781441
82,二宮飛鳥,宮本フレデリカ,佐藤心,神崎蘭子,速水奏,901234638114373632
83,喜多日菜子,藤原肇,的場梨沙,緒方智絵里,赤城みりあ,901234636860280836
84,高垣楓,速水奏,川島瑞樹,塩見周子,佐藤心,901234632569565185
85,緒方智絵里,神谷奈緒,三船美優,荒木比奈,姫川友紀,901234604530515970
86,佐久間まゆ,五十嵐響子,島村卯月,喜多日菜子,緒方智絵里,901234581281439746
87,多田李衣菜,輿水幸子,一ノ瀬志希,三村かな子,神崎蘭子,901234576802029572
88,諸星きらり,佐藤心,日野茜,本田未央,安部菜々,901234287940214784
89,一ノ瀬志希,双葉杏,鷺沢文香,小早川紗枝,依田芳乃,901234296442073088
90,安部菜々,依田芳乃,前川みく,輿水幸子,北条加蓮,901234322128097280
91,森久保乃々,二宮飛鳥,橘ありす,大槻唯,早坂美玲,901234358186422273
92,椎名法子,森久保乃々,関裕美,堀裕子,白菊ほたる,901234375643119616
93,塩見周子,三船美優,関裕美,鷺沢文香,八神マキノ,901234416759877634
94,大和亜季,杉坂海,東郷あい,松永涼,三船美優,901234812773519360
95,白坂小梅,椎名法子,神崎蘭子,佐久間まゆ,櫻井桃華,901234417099657216
96,高森藍子,神谷奈緒,佐久間まゆ,乙倉悠貴,藤原肇,901234446732374016
97,神崎蘭子,二宮飛鳥,森久保乃々,南条光,神谷奈緒,901234448233922560
